                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.85348,                0.51433,                 0.9769,                 0.8615,                0.72226,                 0.8141,                 0.5469,                0.85698,                0.49793,                0.99354,             0.00039626,             0.00039626,             0.00039626
                     75,                0.84243,                0.50484,                0.97184,                0.87492,                0.71865,                 0.8177,                0.55006,                0.85394,                0.49675,                0.99393,             0.00038211,             0.00038211,             0.00038211
                     76,                0.84209,                0.50565,                 0.9707,                0.86522,                0.72227,                0.81449,                0.55094,                 0.8537,                0.49893,                0.99358,             0.00036797,             0.00036797,             0.00036797
                     77,                0.84435,                0.50246,                0.97089,                0.87303,                0.72768,                0.82011,                0.55352,                0.85239,                0.49771,                0.99209,             0.00035382,             0.00035382,             0.00035382
                     78,                0.83728,                0.50256,                0.97126,                0.87096,                0.72584,                0.82109,                0.55496,                0.84897,                0.49099,                0.99116,             0.00033967,             0.00033967,             0.00033967
                     79,                0.83552,                0.49792,                0.96672,                 0.8813,                0.71956,                0.82451,                0.55597,                0.84556,                0.49785,                0.99032,             0.00032553,             0.00032553,             0.00032553
                     80,                0.82818,                0.49397,                0.96449,                 0.8867,                0.72286,                0.82394,                0.55566,                0.84667,                0.48827,                0.99036,             0.00031138,             0.00031138,             0.00031138
                     81,                0.82797,                0.49263,                0.96853,                0.87871,                0.71811,                0.82153,                0.55675,                0.84487,                  0.493,                0.98998,             0.00029723,             0.00029723,             0.00029723
                     82,                0.82571,                0.49085,                0.96492,                0.88583,                0.72088,                0.82345,                0.55915,                0.84007,                0.48612,                0.98776,             0.00028308,             0.00028308,             0.00028308
                     83,                 0.8273,                0.49671,                0.96547,                 0.8846,                0.72566,                 0.8263,                0.56103,                0.84184,                0.48881,                0.98733,             0.00026894,             0.00026894,             0.00026894
                     84,                 0.8195,                0.48967,                0.96281,                0.86934,                0.73477,                0.82403,                0.56107,                0.83911,                0.49218,                0.98652,             0.00025479,             0.00025479,             0.00025479
                     85,                0.81811,                0.48482,                0.95908,                0.88771,                0.72205,                0.82384,                0.56196,                0.83977,                0.49058,                0.98664,             0.00024064,             0.00024064,             0.00024064
                     86,                0.81991,                0.48662,                0.95986,                0.89934,                0.71587,                0.82575,                0.56118,                0.83827,                 0.4862,                0.98615,              0.0002265,              0.0002265,              0.0002265
                     87,                0.80942,                 0.4792,                0.95687,                0.88953,                0.72058,                0.82704,                0.56478,                0.83502,                0.48395,                0.98414,             0.00021235,             0.00021235,             0.00021235
                     88,                0.80772,                0.47937,                0.95686,                0.89568,                0.72363,                0.82745,                0.56432,                0.83211,                0.48158,                0.98409,              0.0001982,              0.0001982,              0.0001982
                     89,                0.80677,                0.47885,                0.95886,                0.89212,                0.72497,                0.82609,                0.56551,                0.83401,                0.48359,                0.98335,             0.00018406,             0.00018406,             0.00018406
